Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,963.6692722,1059.810762,1111.96579,1144.381029,1141.393934
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3839.9616,4234.659883,4022.748814,3987.490158,3620.968297
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13812.09606,14171.3205,14865.89324,15621.08737,14570.23674
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2863.852044,3032.262133,3146.901748,3188.175462,3151.957145
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6322.913234,6643.179892,7028.993091,7475.12252,6374.267776
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19075.00447,20347.03477,21022.76519,21833.96661,21143.34282
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15154.50324,15737.80411,16337.57326,16651.25782,15620.72991
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24808.40367,25475.48966,25656.45853,25530.20687,21405.85052
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,66639.55106,69753.08972,73507.56952,76747.66631,71567.38081
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35719.06637,38050.85774,40476.38627,41514.51051,38458.19126
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36097.70526,38824.88792,41134.08988,43316.32744,42049.18595
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,50579.68393,53071.45557,55142.31878,56284.98052,54263.64961
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4692.550689,4885.205039,5339.261075,5768.83109,5779.60987
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11949.53406,11304.04333,11804.34586,12892.0211,10849.18676
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,51976.00571,55356.68078,57456.61183,59896.5675,60551.64017
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16109.86367,16735.36442,18137.0524,19191.58039,17928.97707
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11624.34078,11737.40124,11909.92982,12009.24821,11320.01882
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12238.56234,12903.42432,13964.98408,14935.62183,15169.48006
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8544.077412,8963.459458,9399.497851,9672.803865,9248.235143
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15562.63332,16277.5928,17369.10322,18315.56415,18446.88102
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19866.72766,21128.36282,22509.56176,22989.76926,22664.67535
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,32401.30445,34073.93787,35761.04006,36972.37208,35606.4893
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11034.26918,11617.91222,11839.34324,11851.46541,10891.71474
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11192.37301,11014.48648,11639.23909,12260.72054,12602.30927
